"","Year","State","what","domain1","domain2","dc1","dc2","dc_detail","Value","unit"
"67",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BT KURSTAKI SA-11 = 6519)","(NA)","LB"
"68",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BT SUB AIZAWAI GC-91 = 6426)","(NA)","LB"
"69",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BUPROFEZIN = 275100)","(D)","LB"
"70",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (BURKHOLDERIA A396 CELLS & MEDIA = 6534)","(NA)","LB"
"71",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (CARBARYL = 56801)","(D)","LB"
"72",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (CHLORANTRANILIPROLE = 90100)","1,900","LB"
"73",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (CHLORPYRIFOS = 59101)","(D)","LB"
"74",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","(NA)","LB"
"75",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (CYANTRANILIPROLE = 90098)","900","LB"
"76",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (CYFLUMETOFEN = 138831)","5,200","LB"
"77",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (ETOXAZOLE = 107091)","1,200","LB"
"78",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (FENBUTATIN-OXIDE = 104601)","(D)","LB"
"79",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (FENPROPATHRIN = 127901)","6,000","LB"
"80",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (FENPYROXIMATE = 129131)","400","LB"
"81",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (FLONICAMID = 128016)","3,300","LB"
"82",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (FLUPYRADIFURONE = 122304)","4,800","LB"
"83",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (HELICOVERPA ZEA NPV = 107300)","(NA)","LB"
"84",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (HEXYTHIAZOX = 128849)","2,300","LB"
"85",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (IMIDACLOPRID = 129099)","3,500","LB"
"86",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (MALATHION = 57701)","56,700","LB"
"87",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (METHOXYFENOZIDE = 121027)","3,300","LB"
"88",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (NALED = 34401)","12,700","LB"
"89",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (NEEM OIL = 25006)","1,100","LB"
"90",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (NEEM OIL, CLAR. HYD. = 25007)","51,600","LB"
"91",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (NOVALURON = 124002)","4,600","LB"
"92",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (PIPERONYL BUTOXIDE = 67501)","1,200","LB"
"93",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (POTASSIUM SALTS = 79021)","(D)","LB"
"94",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (PYRETHRINS = 69001)","200","LB"
"95",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (PYRIDABEN = 129105)","(D)","LB"
"96",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (PYRIPROXYFEN = 129032)","100","LB"
"97",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (SOYBEAN OIL = 31605)","(D)","LB"
"98",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (SPINETORAM = 110007)","2,300","LB"
"99",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (SPINOSAD = 110003)","600","LB"
"100",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (SPIROMESIFEN = 24875)","1,800","LB"
"101",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (SULFOXAFLOR = 5210)","1,000","LB"
"102",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (THIAMETHOXAM = 60109)","1,400","LB"
"103",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (TOTAL)","212,600","LB"
"104",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," INSECTICIDE","CHEMICAL"," INSECTICIDE"," (ZETA-CYPERMETHRIN = 129064)","(D)","LB"
"105",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (ACIBENZOLAR-S-METHYL = 61402)","(D)","LB"
"106",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (AUREOBASIDIUM PULLULANS DSM 14940 = 46010)","(NA)","LB"
"107",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (AUREOBASIDIUM PULLULANS DSM 14941 = 36010)","(NA)","LB"
"108",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (BT KURSTAKI SA-12 = 6518)","(NA)","LB"
"109",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (CAPRIC ACID = 128955)","(D)","LB"
"110",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (CAPRYLIC ACID = 128919)","(D)","LB"
"111",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (CHLOROPICRIN = 81501)","6,146,600","LB"
"112",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (DICHLOROPROPENE = 29001)","1,045,700","LB"
"113",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (FLUTRIAFOL = 128940)","1,700","LB"
"114",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (GLIOCLADIUM VIRENS = 129000)","(D)","LB"
"115",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (HYDROGEN PEROXIDE = 595)","(D)","LB"
"116",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (IRON PHOSPHATE = 34903)","100","LB"
"117",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (METALDEHYDE = 53001)","(D)","LB"
"118",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (METAM-POTASSIUM = 39002)","254,000","LB"
"119",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (METAM-SODIUM = 39003)","244,000","LB"
"120",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (PAECILOMYCES FUMOSOR = 115002)","(D)","LB"
"121",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (PEROXYACETIC ACID = 63201)","(D)","LB"
"122",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (POTASSIUM SILICATE = 72606)","(D)","LB"
"123",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (REYNOUTRIA SACHALINE = 55809)","600","LB"
"124",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (TOTAL)","7,698,900","LB"
"125",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," OTHER","CHEMICAL"," OTHER"," (TRICHODERMA VIRENS STRAIN G-41 = 176604)","(NA)","LB"
"126",2019,"CALIFORNIA","BEARING - APPLICATIONS","FERTILIZER"," ","FERTILIZER"," (NITROGEN)"," ","668,000","LB"
"127",2019,"CALIFORNIA","BEARING - APPLICATIONS","FERTILIZER"," ","FERTILIZER"," (PHOSPHATE)"," ","493,000","LB"
"128",2019,"CALIFORNIA","BEARING - APPLICATIONS","FERTILIZER"," ","FERTILIZER"," (POTASH)"," ","430,000","LB"
"129",2019,"CALIFORNIA","BEARING - APPLICATIONS","FERTILIZER"," ","FERTILIZER"," (SULFUR)"," ","57,000","LB"
"130",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (AZOXYSTROBIN = 128810)","0.205","LB / ACRE / APPLICATION"
"131",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","(NA)","LB / ACRE / APPLICATION"
"132",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)","LB / ACRE / APPLICATION"
"133",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS PUMILUS = 6485)","(NA)","LB / ACRE / APPLICATION"
"134",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS SUBT. GB03 = 129068)","(NA)","LB / ACRE / APPLICATION"
"135",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BACILLUS SUBTILIS = 6479)","(NA)","LB / ACRE / APPLICATION"
"136",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BLAD = 30006)","0.482","LB / ACRE / APPLICATION"
"137",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BORAX DECAHYDRATE = 11102)","0.023","LB / ACRE / APPLICATION"
"138",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BOSCALID = 128008)","0.337","LB / ACRE / APPLICATION"
"139",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (BT SUBSP KURSTAKI EVB-113-19 = 6544)","(NA)","LB / ACRE / APPLICATION"
"140",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (CAPTAN = 81301)","1.739","LB / ACRE / APPLICATION"
"141",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (COPPER HYDROXIDE = 23401)","(D)","LB / ACRE / APPLICATION"
"142",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (COPPER OCTANOATE = 23306)","(D)","LB / ACRE / APPLICATION"
"143",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (CYFLUFENAMID = 555550)","0.023","LB / ACRE / APPLICATION"
"144",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (CYPRODINIL = 288202)","0.32","LB / ACRE / APPLICATION"
"145",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (DIFENOCONAZOLE = 128847)","0.114","LB / ACRE / APPLICATION"
"146",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FENHEXAMID = 90209)","0.623","LB / ACRE / APPLICATION"
"147",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FLUDIOXONIL = 71503)","0.213","LB / ACRE / APPLICATION"
"148",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FLUOPYRAM = 80302)","0.113","LB / ACRE / APPLICATION"
"149",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FLUXAPYROXAD = 138009)","0.168","LB / ACRE / APPLICATION"
"150",2019,"CALIFORNIA","BEARING - APPLICATIONS","CHEMICAL"," FUNGICIDE","CHEMICAL"," FUNGICIDE"," (FOSETYL-AL = 123301)","3.997","LB / ACRE / APPLICATION"
